created_at,entry_id,field2
2024-02-21 16:58:15 UTC,1,20
2024-02-21 16:58:57 UTC,2,20
2024-02-21 16:59:58 UTC,3,20
2024-02-21 17:00:31 UTC,4,20
2024-02-21 17:01:10 UTC,5,20
2024-02-21 17:01:46 UTC,6,20
2024-02-21 17:02:22 UTC,7,20
2024-02-21 17:02:53 UTC,8,20
2024-02-21 17:03:24 UTC,9,79
2024-02-21 17:03:55 UTC,10,20
2024-02-21 17:04:27 UTC,11,20
2024-02-21 17:04:58 UTC,12,44
2024-02-21 17:05:30 UTC,13,79
2024-02-21 17:06:00 UTC,14,20
2024-02-21 17:06:37 UTC,15,20
2024-02-21 17:07:13 UTC,16,20
2024-02-21 17:07:54 UTC,17,20
2024-02-21 17:08:36 UTC,18,45
2024-02-21 17:15:21 UTC,19,20
2024-02-21 17:25:12 UTC,20,20
2024-02-21 17:25:43 UTC,21,20
2024-02-21 17:26:14 UTC,22,20
2024-02-21 17:26:45 UTC,23,20
2024-02-21 17:27:16 UTC,24,20
2024-02-21 17:27:47 UTC,25,44
2024-02-21 17:28:18 UTC,26,20
2024-02-21 17:28:49 UTC,27,20
2024-02-21 17:29:20 UTC,28,20
2024-02-21 17:29:51 UTC,29,20
2024-02-21 17:30:22 UTC,30,50
2024-02-21 17:30:53 UTC,31,50
2024-02-21 17:31:23 UTC,32,20
2024-02-21 17:31:54 UTC,33,20
2024-02-21 17:32:25 UTC,34,50
2024-02-21 17:33:03 UTC,35,34
2024-02-21 17:57:52 UTC,36,20
2024-02-21 17:58:23 UTC,37,33
2024-02-21 17:58:53 UTC,38,36
2024-02-21 17:59:24 UTC,39,39
2024-02-21 17:59:55 UTC,40,30
2024-02-21 18:00:26 UTC,41,32
2024-02-21 18:00:57 UTC,42,45
2024-02-21 18:01:28 UTC,43,51
2024-02-21 18:02:00 UTC,44,29
2024-02-21 18:02:30 UTC,45,20
2024-02-21 18:03:02 UTC,46,20
2024-02-21 18:03:32 UTC,47,20
2024-02-21 18:04:04 UTC,48,20
2024-02-21 18:04:34 UTC,49,20
2024-02-21 18:05:05 UTC,50,20
2024-02-21 18:05:36 UTC,51,20
2024-02-21 18:06:07 UTC,52,20
2024-02-21 18:06:38 UTC,53,20
2024-02-21 18:07:09 UTC,54,20
2024-02-21 18:07:40 UTC,55,79
2024-02-21 18:08:11 UTC,56,41
2024-02-21 18:08:42 UTC,57,20
2024-02-21 18:09:13 UTC,58,28
2024-02-21 18:09:44 UTC,59,28
2024-02-21 18:10:14 UTC,60,28
2024-02-21 18:10:45 UTC,61,28
2024-02-21 18:11:16 UTC,62,20
2024-02-21 18:11:47 UTC,63,20
2024-02-21 18:12:18 UTC,64,20
2024-02-21 18:12:49 UTC,65,20
2024-02-21 18:13:19 UTC,66,20
2024-02-21 18:13:50 UTC,67,20
2024-02-21 18:14:21 UTC,68,20
2024-02-21 18:14:52 UTC,69,20
2024-02-21 18:15:22 UTC,70,20
2024-02-21 18:15:53 UTC,71,41
2024-02-21 18:16:24 UTC,72,20
2024-02-21 18:16:55 UTC,73,50
2024-02-21 18:17:25 UTC,74,20
2024-02-21 18:17:56 UTC,75,20
2024-02-21 18:18:27 UTC,76,45
2024-02-21 18:18:58 UTC,77,20
2024-02-21 18:19:29 UTC,78,20
2024-02-21 18:19:59 UTC,79,20
2024-02-21 18:20:30 UTC,80,79
2024-02-21 18:21:01 UTC,81,51
2024-02-21 18:21:32 UTC,82,20
2024-02-21 18:22:03 UTC,83,20
2024-02-21 18:22:33 UTC,84,20
2024-02-21 18:23:04 UTC,85,20
2024-02-21 18:23:40 UTC,86,20
2024-02-21 18:24:11 UTC,87,20
2024-02-21 18:24:42 UTC,88,20
2024-02-21 18:25:12 UTC,89,20
2024-02-21 18:25:43 UTC,90,20
2024-02-21 18:26:14 UTC,91,20
2024-02-21 18:26:45 UTC,92,20
2024-02-21 18:27:16 UTC,93,20
